date|time|description|vendor|amount
2026-07-14|23:18:24|check|costco|100.0
2026-07-14|23:22:10|Subscription|Spotify|-19.99
2026-07-14|23:18:24|kid account|Youtube|200.0
2026-07-01|08:15|Morning Coffee|Starbucks|5.75
2026-07-01|10:30|Office Supplies|Staples|42.18
2026-07-01|13:05|Lunch|McDonald's|12.49
2026-07-02|09:45|Ride to Airport|Uber|28.90
2026-07-02|14:20|Online Shopping|Amazon|89.99
2025-07-03|11:10|Groceries|Walmart|76.34
2026-07-03|18:45|Dinner|Domino's Pizza|24.99
2026-07-04|15:30|Electronics Purchase|Best Buy|349.99
2026-06-05|07:50|Fuel Purchase|Shell|54.21
2026-07-05|16:40|Movie Tickets|AMC Theatres|31.50
2026-07-06|12:15|Subscription Renewal|Netflix|15.99
2026-07-06|17:55|Sports Equipment|Decathlon|68.40
2026-07-07|09:20|Book Purchase|Barnes & Noble|22.75
2025-06-07|19:10|Dinner|Olive Garden|58.60
2026-07-08|08:05|Breakfast|Dunkin'|9.85
2026-07-08|14:50|Pharmacy|CVS Pharmacy|18.45
2026-07-09|11:35|Clothing|Nike|129.99
2026-07-09|20:15|Music Subscription|Spotify|10.99
2026-06-10|13:25|Home Improvement|Home Depot|94.30
2025-07-10|18:00|Taxi Ride|Lyft|21.75
